"","state_name","date","cases","new","new7"
"1","Alabama",2020-01-22,0,0,0
"2","Alabama",2020-01-23,0,0,0
"3","Alabama",2020-01-24,0,0,0
"4","Alabama",2020-01-25,0,0,0
"5","Alabama",2020-01-26,0,0,0
"6","Alabama",2020-01-27,0,0,0
"7","Alabama",2020-01-28,0,0,0
"8","Alabama",2020-01-29,0,0,0
"9","Alabama",2020-01-30,0,0,0
"10","Alabama",2020-01-31,0,0,0
"11","Alabama",2020-02-01,0,0,0
"12","Alabama",2020-02-02,0,0,0
"13","Alabama",2020-02-03,0,0,0
"14","Alabama",2020-02-04,0,0,0
"15","Alabama",2020-02-05,0,0,0
"16","Alabama",2020-02-06,0,0,0
"17","Alabama",2020-02-07,0,0,0
"18","Alabama",2020-02-08,0,0,0
"19","Alabama",2020-02-09,0,0,0
"20","Alabama",2020-02-10,0,0,0
"21","Alabama",2020-02-11,0,0,0
"22","Alabama",2020-02-12,0,0,0
"23","Alabama",2020-02-13,0,0,0
"24","Alabama",2020-02-14,0,0,0
"25","Alabama",2020-02-15,0,0,0
"26","Alabama",2020-02-16,0,0,0
"27","Alabama",2020-02-17,0,0,0
"28","Alabama",2020-02-18,0,0,0
"29","Alabama",2020-02-19,0,0,0
"30","Alabama",2020-02-20,0,0,0
"31","Alabama",2020-02-21,0,0,0
"32","Alabama",2020-02-22,0,0,0
"33","Alabama",2020-02-23,0,0,0
"34","Alabama",2020-02-24,0,0,0
"35","Alabama",2020-02-25,0,0,0
"36","Alabama",2020-02-26,0,0,0
"37","Alabama",2020-02-27,0,0,0
"38","Alabama",2020-02-28,0,0,0
"39","Alabama",2020-02-29,0,0,0
"40","Alabama",2020-03-01,0,0,0
"41","Alabama",2020-03-02,0,0,0
"42","Alabama",2020-03-03,0,0,0
"43","Alabama",2020-03-04,0,0,0
"44","Alabama",2020-03-05,0,0,0
"45","Alabama",2020-03-06,0,0,0
"46","Alabama",2020-03-07,0,0,0
"47","Alabama",2020-03-08,0,0,0
"48","Alabama",2020-03-09,0,0,0
"49","Alabama",2020-03-10,0,0,0
"50","Alabama",2020-03-11,3,3,0.428571428571429
"51","Alabama",2020-03-12,4,1,0.571428571428571
"52","Alabama",2020-03-13,8,4,1.14285714285714
"53","Alabama",2020-03-14,15,7,2.14285714285714
"54","Alabama",2020-03-15,28,13,4
